user,device,time,battery_level,battery_status,battery_health,battery_adaptor
jd9INuQ5BBlW,3p83yASkOb_B,1578532495.729,93,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578532617.079,94,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578532754.909,95,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578532899.435,96,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578533054.191,97,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578533230.62,98,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578533453.43,99,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578533576.636,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578533907.53,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578534132.824,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578534290.868,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578534451.215,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578534585.794,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578534746.739,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578534826.388,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578534944.548,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535013.409,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535121.819,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535122.506,99,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535123.018,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535170.41,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535255.631,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535301.487,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535387.486,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535401.305,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535429.086,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535472.378,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535561.999,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535632.105,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535769.749,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535785.827,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535822.06,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535846.494,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535904.865,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535919.318,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535955.109,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535960.283,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535971.499,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535973.133,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578535977.794,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536002.199,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536064.739,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536096.227,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536178.665,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536196.365,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536244.048,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536291.268,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536394.759,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536419.458,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536489.143,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536506.554,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536557.477,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536589.382,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536685.079,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536685.331,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536687.161,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536705.684,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536761.872,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536776.409,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536823.889,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536848.239,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536928.788,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536928.947,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536931.155,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536946.319,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536995.073,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578536999.548,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537015.238,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537015.397,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537017.678,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537019.058,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537025.109,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537030.2,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537049.66,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537061.525,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537105.192,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537105.371,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537107.319,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537129.309,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537205.702,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537223.298,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537287.609,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537287.79,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537289.718,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537293.079,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537306.569,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578537314.338,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538169.464,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538184.309,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538193.293,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538238.027,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538240.725,99,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538241.81,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538241.979,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538244.758,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538256.97,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538313.656,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538314.399,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538319.639,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538340.468,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538441.717,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538445.628,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538464.959,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538466.858,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538477.566,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538483.029,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538511.718,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538530.539,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538627.178,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538627.328,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538629.984,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538630.145,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538633.338,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538650.867,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538742.741,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538742.9,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538745.241,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538745.888,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538750.872,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538767.148,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538854.916,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538855.06,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538858.38,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538875.308,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538967.175,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578538990.368,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578539117.77,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578539119.84,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578539127.391,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578539727.329,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578541668.911,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578541685.368,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578541900.512,100,2,2,2
