time,double_latitude,double_longitude,double_speed,user
1364550209,43.7066778,-72.2890045,0.0,gps_u01
1364551409,43.7066835,-72.2890587,0.0,gps_u01
1364552611,43.7067764,-72.28906906,0.0,gps_u01
1364553809,43.7066848,-72.2890632,0.0,gps_u01
1364555009,43.7066861,-72.2890976,0.0,gps_u01
1364556209,43.7066707,-72.2890193,0.0,gps_u01
1364557411,43.7067698,-72.28917079,0.0,gps_u01
1364558609,43.7066846,-72.2890683,0.0,gps_u01
1364559809,43.7066855,-72.2890834,0.0,gps_u01
1364560879,43.70652979,-72.28926963,0.0,gps_u01
1364562209,43.7045592,-72.2948453,0.0,gps_u01
1364563409,43.7045449,-72.2947997,0.0,gps_u01
1364564609,43.7045444,-72.2948121,0.0,gps_u01
1364565810,43.7086786,-72.2837755,0.0,gps_u01
1364567009,43.7087418,-72.2837125,0.0,gps_u01
1364568209,43.7086709,-72.2837056,0.0,gps_u01
1364569409,43.7087022,-72.2837743,0.0,gps_u01
1364570610,43.7052906,-72.2903203,0.0,gps_u01
1364571809,43.7052981,-72.2903108,0.0,gps_u01
1364573009,43.7053179,-72.2902354,0.0,gps_u01
1364574212,43.7066964,-72.2891341,0.0,gps_u01
1364575410,43.7021169,-72.2880106,0.0,gps_u01
1364576609,43.7020996,-72.2879863,0.0,gps_u01
1364577809,43.7086073,-72.2871302,0.0,gps_u01
1364580209,43.7017652,-72.2881963,0.0,gps_u01
1364581409,43.7016032,-72.2880176,0.0,gps_u01
1364582609,43.7017144,-72.2881713,0.0,gps_u01
1364583809,43.7017552,-72.2882252,0.0,gps_u01
1364585009,43.701776,-72.2882039,0.0,gps_u01
1364586209,43.7017728,-72.2882036,0.0,gps_u01
1364587409,43.7017642,-72.2882153,0.0,gps_u01
1364588609,43.7066228,-72.2891617,0.0,gps_u01
1364589809,43.7066513,-72.2889746,0.0,gps_u01
1364591009,43.7066687,-72.289,0.0,gps_u01
1364592209,43.7067204,-72.2891592,0.0,gps_u01
1364593409,43.7067075,-72.2891399,0.0,gps_u01
1364594609,43.7067203,-72.2892416,0.0,gps_u01
1364595809,43.706694,-72.2890803,0.0,gps_u01
1364597009,43.7066582,-72.2891199,0.0,gps_u01
1364598209,43.7066727,-72.2891092,0.0,gps_u01
1364599409,43.7066408,-72.2890395,0.0,gps_u01
1364601809,43.7067364,-72.2890538,0.0,gps_u01
1364603009,43.7067168,-72.2891907,0.0,gps_u01
1364604209,43.7066806,-72.2892247,0.0,gps_u01
1364605409,43.7067045,-72.289146,0.0,gps_u01
1364606564,43.70679694,-72.28912395,0.559017,gps_u01
1364607753,43.70672125,-72.28910562,0.0,gps_u01
1364609009,43.7067508,-72.2891225,0.0,gps_u01
1364610209,43.7066588,-72.2891266,0.0,gps_u01
1364611409,43.7066381,-72.2890525,0.0,gps_u01
1364612609,43.7066383,-72.2890525,0.0,gps_u01
1364613809,43.706653,-72.2890232,0.0,gps_u01
1364615009,43.7066384,-72.2890523,0.0,gps_u01
